
--- Erdős–Rényi: totals ---
  k      n  total bc/bs  per-output  median inst.
  3  1,000        0.897       0.897         0.918
  4  1,000        0.897       0.897         0.902
  5  1,000        0.881       0.881         0.872
  6  1,000        0.850       0.850         0.849
  7  1,000        0.830       0.832         0.832
  8  1,000        0.811       0.815         0.819
  9  1,000        0.787       0.792         0.800
 10  1,000        0.766       0.772         0.785

--- Watts–Strogatz: totals ---
  k      n  total bc/bs  per-output  median inst.
  3  1,000        0.848       0.848         0.842
  4  1,000        0.798       0.804         0.799
  5  1,000        0.852       0.886         0.851
  6  1,000        0.987       1.069         1.003
  7  1,000        1.078       1.221         1.158
  8  1,000        0.966       1.184         1.178
  9  1,000        0.723       0.987         1.010
 10  1,000        0.552       0.832         0.851

--- Erdős–Rényi: totals ---
  k      n  total bc/bs  per-output  median inst.
  3  1,000        0.894       0.894         0.916
  4  1,000        0.896       0.896         0.898
  5  1,000        0.876       0.877         0.863
  6  1,000        0.852       0.853         0.836
  7  1,000        0.828       0.830         0.818
  8  1,000        0.813       0.817         0.806
  9  1,000        0.791       0.796         0.789
 10  1,000        0.771       0.778         0.778

--- Watts–Strogatz: totals ---
  k      n  total bc/bs  per-output  median inst.
  3  1,000        0.849       0.849         0.843
  4  1,000        0.796       0.802         0.797
  5  1,000        0.851       0.885         0.846
  6  1,000        0.984       1.066         0.984
  7  1,000        1.072       1.215         1.092
  8  1,000        0.963       1.181         0.995
  9  1,000        0.720       0.982         0.742
 10  1,000        0.551       0.830         0.566
